,algorithm,policy,machine_id,workload_type,avg_cpu_actual,avg_cpu_predicted,avg_solar_pv,energy_consumed_wh,green_energy_wh,grid_energy_wh,geuf_percentage
0,TempoSight,PREDICTIVE_CARBON_AWARE,"(42,)",LARGE,1.0439675925925926,104.3,0.0,304.6978541666667,0.0,304.6978541666667,0.0
1,TempoSight,GREEN_OBLIVIOUS,"(42,)",LARGE,0.4256898148148148,40.34,0.0,301.9156041666666,0.0,301.9156041666666,0.0
2,TempoSight,PREDICTIVE_CARBON_AWARE,"(44,)",LARGE,1.043414351851852,104.25,0.0,304.69536458333334,0.0,304.69536458333334,0.0
3,TempoSight,GREEN_OBLIVIOUS,"(44,)",LARGE,0.4028518518518519,40.25,0.0,301.8128333333333,0.0,301.8128333333333,0.0
4,TempoSight,PREDICTIVE_CARBON_AWARE,"(45,)",LARGE,1.046835648148148,104.5,0.0,304.7107604166666,0.0,304.7107604166666,0.0
5,TempoSight,GREEN_OBLIVIOUS,"(45,)",LARGE,0.43275462962962963,40.38,0.0,301.94739583333336,0.0,301.94739583333336,0.0
6,TempoSight,PREDICTIVE_CARBON_AWARE,"(46,)",LARGE,1.0393425925925928,103.8,0.009160022712047963,304.6770416666667,47.648494260415866,257.0285474062508,15.639016973437045
7,TempoSight,GREEN_OBLIVIOUS,"(46,)",LARGE,0.3969722222222222,40.56,0.0,301.78637499999996,0.0,301.78637499999996,0.0
8,TempoSight,PREDICTIVE_CARBON_AWARE,"(51,)",LARGE,1.016787037037037,101.9,0.0,304.57554166666665,0.0,304.57554166666665,0.0
9,TempoSight,GREEN_OBLIVIOUS,"(51,)",LARGE,0.43472817460317464,40.44,0.0,301.9562767857143,0.0,301.9562767857143,0.0
10,TempoSight,PREDICTIVE_CARBON_AWARE,"(53,)",LARGE,1.0361689814814814,103.75,0.0,304.66276041666663,0.0,304.66276041666663,0.0
11,TempoSight,GREEN_OBLIVIOUS,"(53,)",LARGE,0.44519907407407405,41.78,0.0,302.00339583333323,0.0,302.00339583333323,0.0
12,TempoSight,PREDICTIVE_CARBON_AWARE,"(55,)",LARGE,0.3959930555555556,40.06,0.7856487709613386,301.78196875,298.92301186798977,2.8589568820102116,99.0526415829772
13,TempoSight,GREEN_OBLIVIOUS,"(55,)",LARGE,0.42703703703703705,40.06,0.0,301.92166666666674,0.0,301.92166666666674,0.0
14,TempoSight,PREDICTIVE_CARBON_AWARE,"(62,)",LARGE,0.39118287037037036,40.1,0.5670666784154116,301.76032291666667,277.73077278511636,24.029550131550238,92.03687552449159
15,TempoSight,GREEN_OBLIVIOUS,"(62,)",LARGE,0.4209259259259259,40.2,0.0,301.89416666666665,0.0,301.89416666666665,0.0
16,TempoSight,PREDICTIVE_CARBON_AWARE,"(70,)",LARGE,0.3860125661375661,40.2,0.761987627193233,301.73705654761903,298.8933184156088,2.843738132010211,99.05754428556193
17,TempoSight,GREEN_OBLIVIOUS,"(70,)",LARGE,0.40800462962962963,40.1,0.0,301.83602083333324,0.0,301.83602083333324,0.0
18,TempoSight,PREDICTIVE_CARBON_AWARE,"(73,)",LARGE,0.40473148148148147,40.72,0.7791619358100993,301.82129166666664,298.94948061798976,2.871811048676877,99.04850614321519
19,TempoSight,GREEN_OBLIVIOUS,"(73,)",LARGE,0.4516944444444444,40.3,0.0,302.03262500000005,0.0,302.03262500000005,0.0
