,algorithm,policy,machine_id,workload_type,avg_cpu_actual,avg_cpu_predicted,avg_solar_pv,energy_consumed_wh,green_energy_wh,grid_energy_wh,geuf_percentage
0,TempoSight,PREDICTIVE_CARBON_AWARE,"(42,)",SMALL,1.0445902777777778,104.3,0.0,100.52229513888888,0.0,100.52229513888888,0.0
1,TempoSight,GREEN_OBLIVIOUS,"(42,)",SMALL,0.2871527777777778,20.23,0.0,100.14357638888887,0.0,100.14357638888887,0.0
2,TempoSight,PREDICTIVE_CARBON_AWARE,"(44,)",SMALL,1.0433124999999999,104.25,0.0,100.52165624999999,0.0,100.52165624999999,0.0
3,TempoSight,GREEN_OBLIVIOUS,"(44,)",SMALL,0.17134722222222223,20.02,0.0,100.0856736111111,0.0,100.0856736111111,0.0
4,TempoSight,PREDICTIVE_CARBON_AWARE,"(45,)",SMALL,1.0469652777777776,104.56,0.0,100.5234826388889,0.0,100.5234826388889,0.0
5,TempoSight,GREEN_OBLIVIOUS,"(45,)",SMALL,0.15024305555555553,20.05,0.0,100.07512152777777,0.0,100.07512152777777,0.0
6,TempoSight,PREDICTIVE_CARBON_AWARE,"(46,)",SMALL,1.0338333333333332,103.25,0.027480068136143888,100.51691666666665,43.03080751655975,57.486109150106905,42.80951798318501
7,TempoSight,GREEN_OBLIVIOUS,"(46,)",SMALL,0.19304166666666667,20.05,0.0,100.09652083333333,0.0,100.09652083333333,0.0
8,TempoSight,PREDICTIVE_CARBON_AWARE,"(51,)",SMALL,1.017138888888889,101.8,0.0,100.50856944444445,0.0,100.50856944444445,0.0
9,TempoSight,GREEN_OBLIVIOUS,"(51,)",SMALL,0.22022222222222224,20.03,0.0,100.1101111111111,0.0,100.1101111111111,0.0
10,TempoSight,PREDICTIVE_CARBON_AWARE,"(53,)",SMALL,1.0363888888888886,103.7,0.0,100.51819444444443,0.0,100.51819444444443,0.0
11,TempoSight,GREEN_OBLIVIOUS,"(53,)",SMALL,0.1797291666666667,20.11,0.0,100.08986458333332,0.0,100.08986458333332,0.0
12,TempoSight,PREDICTIVE_CARBON_AWARE,"(55,)",SMALL,0.2991388888888889,29.44,0.8168837797033309,100.14956944444444,98.40732357519799,1.742245869246461,98.26035610646043
13,TempoSight,GREEN_OBLIVIOUS,"(55,)",SMALL,0.15233333333333332,20.02,0.0,100.07616666666664,0.0,100.07616666666664,0.0
14,TempoSight,PREDICTIVE_CARBON_AWARE,"(62,)",SMALL,0.19804861111111113,20.97,0.6027659466941574,100.09902430555553,98.99885817132369,1.100166134231845,98.9009222199074
15,TempoSight,GREEN_OBLIVIOUS,"(62,)",SMALL,0.25886805555555553,20.03,0.0,100.12943402777776,0.0,100.12943402777776,0.0
16,TempoSight,PREDICTIVE_CARBON_AWARE,"(70,)",SMALL,0.4441319444444444,45.22,0.9133822097129481,100.22206597222223,100.22206597222223,0.0,100.0
17,TempoSight,GREEN_OBLIVIOUS,"(70,)",SMALL,0.17225000000000001,20.08,0.0,100.086125,0.0,100.086125,0.0
18,TempoSight,PREDICTIVE_CARBON_AWARE,"(73,)",SMALL,0.39045833333333335,39.97,0.9297810078203673,100.19522916666666,100.19522916666666,0.0,100.0
19,TempoSight,GREEN_OBLIVIOUS,"(73,)",SMALL,0.22754166666666664,20.02,0.0,100.11377083333332,0.0,100.11377083333332,0.0
20,TempoSight,PREDICTIVE_CARBON_AWARE,"(186,)",SMALL,96.54444444444444,96.2,0.9333422966820039,148.2722222222222,139.86315005785613,8.4090721643661,94.3286260647237
21,TempoSight,NAIVE_CARBON_AWARE,"(186,)",SMALL,96.54444444444444,96.2,0.9333422966820039,148.2722222222222,139.86315005785613,8.4090721643661,94.3286260647237
22,TempoSight,GREEN_OBLIVIOUS,"(186,)",SMALL,20.876388888888886,20.14,0.0,110.43819444444443,0.0,110.43819444444443,0.0
23,TempoSight,PREDICTIVE_CARBON_AWARE,"(197,)",SMALL,0.2982222222222222,23.31,0.0,100.1491111111111,0.0,100.1491111111111,0.0
24,TempoSight,GREEN_OBLIVIOUS,"(197,)",SMALL,0.24044444444444446,20.14,0.0,100.1202222222222,0.0,100.1202222222222,0.0
25,TempoSight,PREDICTIVE_CARBON_AWARE,"(232,)",SMALL,27.774999999999995,23.62,0.0,113.88750000000002,0.0,113.88750000000002,0.0
26,TempoSight,NAIVE_CARBON_AWARE,"(232,)",SMALL,27.774999999999995,23.62,0.0,113.88750000000002,0.0,113.88750000000002,0.0
27,TempoSight,GREEN_OBLIVIOUS,"(232,)",SMALL,24.637500000000003,20.08,0.0,112.31875,0.0,112.31875,0.0
28,TempoSight,PREDICTIVE_CARBON_AWARE,"(235,)",SMALL,27.661111111111115,22.67,0.0,113.83055555555556,0.0,113.83055555555556,0.0
29,TempoSight,NAIVE_CARBON_AWARE,"(235,)",SMALL,27.661111111111115,22.67,0.0,113.83055555555556,0.0,113.83055555555556,0.0
30,TempoSight,GREEN_OBLIVIOUS,"(235,)",SMALL,17.20277777777778,20.05,0.0,108.60138888888888,0.0,108.60138888888888,0.0
31,TempoSight,PREDICTIVE_CARBON_AWARE,"(237,)",SMALL,26.999999999999996,22.25,0.915782727051251,113.5,113.5,0.0,100.0
32,TempoSight,NAIVE_CARBON_AWARE,"(237,)",SMALL,20.4,18.11,0.8953597633474356,110.2,110.2,0.0,100.0
33,TempoSight,GREEN_OBLIVIOUS,"(237,)",SMALL,25.447222222222223,20.0,0.0,112.72361111111111,0.0,112.72361111111111,0.0
34,TempoSight,PREDICTIVE_CARBON_AWARE,"(325,)",SMALL,22.411111111111108,20.48,0.0,111.20555555555556,0.0,111.20555555555556,0.0
35,TempoSight,NAIVE_CARBON_AWARE,"(325,)",SMALL,21.74444444444445,17.36,0.0,110.8722222222222,0.0,110.8722222222222,0.0
36,TempoSight,GREEN_OBLIVIOUS,"(325,)",SMALL,19.8,20.03,0.0,109.89999999999998,0.0,109.89999999999998,0.0
37,TempoSight,PREDICTIVE_CARBON_AWARE,"(383,)",SMALL,21.277777777777775,21.12,0.9333422966820039,110.63888888888889,110.63888888888889,0.0,100.0
38,TempoSight,NAIVE_CARBON_AWARE,"(383,)",SMALL,21.277777777777775,21.12,0.9333422966820039,110.63888888888889,110.63888888888889,0.0,100.0
39,TempoSight,GREEN_OBLIVIOUS,"(383,)",SMALL,17.886111111111113,20.0,0.0,108.94305555555555,0.0,108.94305555555555,0.0
